Review,Mark
"провайдер ужасный врут всегда,особенно оператор молодой человек так умничает,будто академию закончил!!!!а толку от его ""умности ""нет,скорость низкая явно заниженная,и свою вину переваливают на абонента,ушел бы да только конкуренции нет,",1
"Самый тухлый провайдер в мире. Ни о какой стабильности и речи быть не может , заявленной скорости ни разу не наблюдал , постоянные сбои , перепады , отзывчивость тех поддержки тоже ""на высоте"" . Был бы выбор , без вопросов сменил бы.",1
"Итак, начал тест на час каждые 5 минут вечером в предпраздничный день, вот результаты:
Количество измерений: 	12
Общее время теста в часах: 	1
Средняя скорость: 	795.16 Kбит/сек
не стоит говорить  честности провайдера, всё видно по результатам!",1
"Никаких нареканий,вообще!Всё быстро доступно,практически любые способы оплаты удобные себя даже с мобильного    счета.Подключение в этот же день и очень быстро.",0
"у вас один монтажник? мало того, что меня неделю футболили тех.операторы, ссылаясь на мой ноут, я таскалась по всему городу тестировала у всех ноут(с ним всё в порядке). так теперь ждать монтажника предстоит 8 дней! это нормально? он у вас один на весь город?",1
"Подключился 3 месяца назад стоимость 500 рублей в месяц за 10 мегабит.
Месяц назад внезапно кончились деньги, оказалось что кто-то перевел тариф на 50 мегабит в секунду с стоимостью в 1300 рублей. 2 дня сидел без интернета потому, что они не хотели предоставлять кредита, съездил в офис, оплатил написал заявление о смене пароля и о переводе на 10 мегабит в секунду оплатил 1300. Прошел месяц деньги внезапно закончились хотя их должно было хватить на 2 месяца. Кредит не предоставили, телефон начальства не дают, сижу 3 дня без интернета, с начальством не соединяют, интернет не включают, в общем сами совершили ошибку, а я расплачиваюсь. Говорят что пытаются разобраться кто переводит тарифы на более высокие, возможно их система, говорят. Попросил чтобы ответственное лицо мне перезвонило на сотовый, этого не произошло.  В общем отношение к клиенту потребительское, деньги взять, а если у меня проблемы, лучше отключить, а потом уже кредит давать если они не правы окажуться.",1
"Провайдер отвратительный, больше добавить нечего.Не везде есть оптоволокно, тарифы для юридических лиц идиотские. При одной и той же скорости хотят оплату в два раза дороже, телефоны тех поддержки не всегда берут, а если и берут то не могут разумно помочь.",1
"постоянные обрывы работа по принципу 2 на 3. два звонишь,три дня работает.слушаешь пользователей билайна и слюни пускаешь. когда же? но на деревне не не дождёшься.",1
"Заявленная скорость получения 55, реальная 95,31 Мбит.сек. Скорость передачи 87,29 Мбит.сек. Пинг 1 мс. Замерял Speedtest в 8 утра. Сервис выше всяких похвал. Сотрудники доброжелательные, реагируют оперативно. Могу добавить, что скорость интернета можно улучшить самостоятельно, если руки не мешают сидеть.",1
"Пользуемся в Химках, на ул. Молодежная, 60 уже 3 года. Все отлично, скорость примерно 70 после роутера. Грамотные специалисты.",1
